Structure,Threads,Elapsed Time
STD_Lock,1,1136847220
TBB,1,1091953921
WFC_Laborde 4,1,4283929961
WFC_Laborde 8,1,3778164803
LibCDS_Feldman 4,1,1505267586
LibCDS_Feldman 8,1,1432499835
Xenium_Michael,1,2239247278
LibCDS_Michael 1,1,978479916
LibCDS_SplitOrdered 1,1,1434279451
STD_Lock,4,7438396807
TBB,4,1251405048
LibCDS_Feldman 4,4,866286076
LibCDS_Feldman 8,4,857327421
Xenium_Michael,4,1372906727
LibCDS_Michael 1,4,590672604
LibCDS_SplitOrdered 1,4,756364145
STD_Lock,8,8152420146
TBB,8,319375834
WFC_Laborde 4,8,2433372477
LibCDS_Feldman 4,8,373911873
LibCDS_Feldman 8,8,247529627
Xenium_Michael,8,756699020
LibCDS_Michael 1,8,209539133
LibCDS_SplitOrdered 1,8,752239362
STD_Lock,16,7426187565
TBB,16,216845458
WFC_Laborde 8,16,1419467189
LibCDS_Feldman 4,16,207235079
LibCDS_Feldman 8,16,191907873
Xenium_Michael,16,358640212
LibCDS_Michael 1,16,251944938
LibCDS_SplitOrdered 1,16,340892598
STD_Lock,32,7460177192
TBB,32,241848130
LibCDS_Feldman 4,32,348743232
LibCDS_Feldman 8,32,356745476
Xenium_Michael,32,314274177
LibCDS_Michael 1,32,586581750
LibCDS_SplitOrdered 1,32,422770876
STD_Lock,1,898057912
TBB,1,1013251921
WFC_Laborde 4,1,4014818104
WFC_Laborde 8,1,3756912601
LibCDS_Feldman 4,1,1511357253
LibCDS_Feldman 8,1,1440383120
Xenium_Michael,1,2245766319
LibCDS_Michael 1,1,982752623
LibCDS_SplitOrdered 1,1,1428091114
STD_Lock,4,8474946863
TBB,4,871872790
WFC_Laborde 4,4,4341468279
WFC_Laborde 8,4,3222904038
LibCDS_Feldman 4,4,696000907
LibCDS_Feldman 8,4,416939621
Xenium_Michael,4,1272480308
LibCDS_Michael 1,4,583748324
LibCDS_SplitOrdered 1,4,791748616
STD_Lock,8,8217584723
TBB,8,344124956
LibCDS_Feldman 4,8,447498589
LibCDS_Feldman 8,8,251180190
Xenium_Michael,8,843076756
LibCDS_Michael 1,8,185596685
LibCDS_SplitOrdered 1,8,261827630
STD_Lock,16,7747098138
TBB,16,227889509
WFC_Laborde 4,16,1284791693
LibCDS_Feldman 4,16,163042215
LibCDS_Feldman 8,16,313270770
Xenium_Michael,16,288691209
LibCDS_Michael 1,16,359289150
LibCDS_SplitOrdered 1,16,334520176
STD_Lock,32,7688870977
TBB,32,246764427
LibCDS_Feldman 4,32,402356006
LibCDS_Feldman 8,32,449406762
Xenium_Michael,32,264714117
LibCDS_Michael 1,32,454688794
LibCDS_SplitOrdered 1,32,392751068
STD_Lock,1,1131630818
TBB,1,1105264185
WFC_Laborde 4,1,4013741509
WFC_Laborde 8,1,3782997832
LibCDS_Feldman 4,1,1510485500
LibCDS_Feldman 8,1,1435328830
Xenium_Michael,1,2238251245
LibCDS_Michael 1,1,977761127
LibCDS_SplitOrdered 1,1,1427492602
STD_Lock,4,6548494560
TBB,4,1245333857
WFC_Laborde 4,4,3618944739
WFC_Laborde 8,4,3421504780
LibCDS_Feldman 4,4,471988443
LibCDS_Feldman 8,4,572823494
Xenium_Michael,4,1172395908
LibCDS_Michael 1,4,581375705
LibCDS_SplitOrdered 1,4,918197916
STD_Lock,8,7713595884
TBB,8,373897425
LibCDS_Feldman 4,8,247222284
LibCDS_Feldman 8,8,360897401
Xenium_Michael,8,784820302
LibCDS_Michael 1,8,440490055
LibCDS_SplitOrdered 1,8,327526508
STD_Lock,16,7741476665
TBB,16,167830523
LibCDS_Feldman 4,16,231022160
LibCDS_Feldman 8,16,214632833
Xenium_Michael,16,442152590
LibCDS_Michael 1,16,249623152
LibCDS_SplitOrdered 1,16,353588808
STD_Lock,32,7095416801
TBB,32,230132764
LibCDS_Feldman 4,32,355101335
LibCDS_Feldman 8,32,563273788
Xenium_Michael,32,232473084
LibCDS_Michael 1,32,581132947
LibCDS_SplitOrdered 1,32,553374741
STD_Lock,1,1133688725
TBB,1,1285951921
WFC_Laborde 4,1,4110660509
WFC_Laborde 8,1,4048820938
LibCDS_Feldman 4,1,1503479326
LibCDS_Feldman 8,1,1440263245
Xenium_Michael,1,2234351597
LibCDS_Michael 1,1,974971027
LibCDS_SplitOrdered 1,1,1433901228
STD_Lock,4,6423355067
TBB,4,831579449
LibCDS_Feldman 4,4,735444651
LibCDS_Feldman 8,4,579658502
Xenium_Michael,4,1458150936
LibCDS_Michael 1,4,440660060
LibCDS_SplitOrdered 1,4,1155502259
STD_Lock,8,9299671076
TBB,8,267154996
WFC_Laborde 4,8,2237245892
LibCDS_Feldman 4,8,495126984
LibCDS_Feldman 8,8,373564794
Xenium_Michael,8,745269251
LibCDS_Michael 1,8,240937088
LibCDS_SplitOrdered 1,8,635385242
STD_Lock,16,7460589830
TBB,16,230317194
WFC_Laborde 4,16,937770667
LibCDS_Feldman 4,16,302373935
LibCDS_Feldman 8,16,221313609
Xenium_Michael,16,380872076
LibCDS_Michael 1,16,205513977
LibCDS_SplitOrdered 1,16,375396478
STD_Lock,32,7673188776
TBB,32,233368220
LibCDS_Feldman 4,32,430608490
LibCDS_Feldman 8,32,337740498
Xenium_Michael,32,315762316
LibCDS_Michael 1,32,406352933
LibCDS_SplitOrdered 1,32,339221680
STD_Lock,1,861655889
TBB,1,1008793924
WFC_Laborde 4,1,4047770234
WFC_Laborde 8,1,3866380397
LibCDS_Feldman 4,1,1239963122
LibCDS_Feldman 8,1,2782856963
Xenium_Michael,1,1966005122
LibCDS_Michael 1,1,977839821
LibCDS_SplitOrdered 1,1,1432257564
STD_Lock,4,7776151246
TBB,4,787730058
WFC_Laborde 4,4,4338339625
LibCDS_Feldman 4,4,796921563
LibCDS_Feldman 8,4,548714970
Xenium_Michael,4,1059110513
LibCDS_Michael 1,4,887244250
LibCDS_SplitOrdered 1,4,870431511
STD_Lock,8,8447914935
TBB,8,261033008
WFC_Laborde 4,8,2871298375
LibCDS_Feldman 4,8,264926027
LibCDS_Feldman 8,8,271845472
Xenium_Michael,8,725244524
LibCDS_Michael 1,8,324540801
LibCDS_SplitOrdered 1,8,313647236
STD_Lock,16,7523940087
TBB,16,167324896
WFC_Laborde 8,16,1585542534
LibCDS_Feldman 4,16,209790246
LibCDS_Feldman 8,16,337547969
Xenium_Michael,16,271462370
LibCDS_Michael 1,16,519624432
LibCDS_SplitOrdered 1,16,237987238
STD_Lock,32,6955746957
TBB,32,227230497
LibCDS_Feldman 4,32,384166928
LibCDS_Feldman 8,32,333438265
Xenium_Michael,32,308739063
LibCDS_Michael 1,32,381376937
LibCDS_SplitOrdered 1,32,449038440
STD_Lock,1,1131502673
TBB,1,1092769158
WFC_Laborde 4,1,4017356358
WFC_Laborde 8,1,3777680338
LibCDS_Feldman 4,1,1503758250
LibCDS_Feldman 8,1,1440212736
Xenium_Michael,1,2240449481
LibCDS_Michael 1,1,979897302
LibCDS_SplitOrdered 1,1,1431951658
STD_Lock,4,6492310074
TBB,4,985454803
WFC_Laborde 4,4,3756526732
