Structure,Threads,Elapsed Time
STD_Lock,1,11018903482
TBB,1,8756792597
WFC_Laborde 4,1,13194023639
WFC_Laborde 8,1,9880170700
LibCDS_Feldman 4,1,19890551103
LibCDS_Feldman 8,1,12993713382
LibCDS_Michael 1,1,8564309246
Xenium_Michael,1,13127799152
LibCDS_SplitOrdered 1,1,14519434514
STD_Lock,4,52116699704
TBB,4,2900067577
WFC_Laborde 4,4,5940466793
WFC_Laborde 8,4,6185882106
LibCDS_Feldman 4,4,3982301198
LibCDS_Feldman 8,4,4344781308
LibCDS_Michael 1,4,3228345073
Xenium_Michael,4,3008200187
LibCDS_SplitOrdered 1,4,3817309097
STD_Lock,8,44394221043
TBB,8,1606231034
WFC_Laborde 4,8,2554735724
WFC_Laborde 8,8,2453914175
LibCDS_Feldman 4,8,2094977387
LibCDS_Feldman 8,8,1783044771
LibCDS_Michael 1,8,1316292396
Xenium_Michael,8,1733135101
LibCDS_SplitOrdered 1,8,1911851797
STD_Lock,16,36930942337
TBB,16,715654836
WFC_Laborde 4,16,1808323049
WFC_Laborde 8,16,1173559093
LibCDS_Feldman 4,16,1136672160
LibCDS_Feldman 8,16,1016655746
LibCDS_Michael 1,16,759300173
Xenium_Michael,16,826359959
LibCDS_SplitOrdered 1,16,1063259978
STD_Lock,32,28030889061
TBB,32,414307997
WFC_Laborde 4,32,918217281
WFC_Laborde 8,32,1122501929
LibCDS_Feldman 4,32,768305755
LibCDS_Feldman 8,32,560708357
LibCDS_Michael 1,32,373437281
Xenium_Michael,32,361381198
LibCDS_SplitOrdered 1,32,588850842
STD_Lock,1,12494171077
TBB,1,8720744118
WFC_Laborde 4,1,19538532808
WFC_Laborde 8,1,9891939122
LibCDS_Feldman 4,1,13842768759
LibCDS_Feldman 8,1,16973747487
LibCDS_Michael 1,1,8504655476
Xenium_Michael,1,12958843284
LibCDS_SplitOrdered 1,1,15468978717
STD_Lock,4,29019188039
TBB,4,2914766445
WFC_Laborde 4,4,9735819998
WFC_Laborde 8,4,5574036529
