Structure,Threads,Elapsed Time
STD_Lock,1,3125770303
TBB,1,4225685850
WFC_Laborde 4,1,2415680219
WFC_Laborde 8,1,2332811669
LibCDS_Feldman 4,1,7717197642
LibCDS_Feldman 8,1,7393361048
Xenium_Michael,1,4524739508
LibCDS_Michael 1,1,4483170709
LibCDS_SplitOrdered 1,1,5119028999
STD_Lock,4,14827309344
TBB,4,2153479803
LibCDS_Feldman 4,4,2825775898
LibCDS_Feldman 8,4,3002567658
Xenium_Michael,4,1896880704
LibCDS_Michael 1,4,2104718325
LibCDS_SplitOrdered 1,4,2322025336
STD_Lock,8,19342169525
TBB,8,1244051459
LibCDS_Feldman 4,8,1615324567
LibCDS_Feldman 8,8,1732985797
Xenium_Michael,8,1317935199
LibCDS_Michael 1,8,1373772941
LibCDS_SplitOrdered 1,8,1395058301
STD_Lock,16,18629552497
TBB,16,616226596
LibCDS_Feldman 4,16,967784977
LibCDS_Feldman 8,16,1103632014
Xenium_Michael,16,703799189
LibCDS_Michael 1,16,773754843
LibCDS_SplitOrdered 1,16,819911380
STD_Lock,32,19377441188
TBB,32,491266412
LibCDS_Feldman 4,32,848566699
LibCDS_Feldman 8,32,1294157387
Xenium_Michael,32,445736770
LibCDS_Michael 1,32,833132249
LibCDS_SplitOrdered 1,32,778050064
STD_Lock,1,3341775533
TBB,1,3945068739
WFC_Laborde 4,1,2408050328
WFC_Laborde 8,1,2287773029
LibCDS_Feldman 4,1,7703245815
LibCDS_Feldman 8,1,7549378305
Xenium_Michael,1,4262428486
LibCDS_Michael 1,1,4646612660
LibCDS_SplitOrdered 1,1,5069162583
STD_Lock,4,15710947073
TBB,4,2075734060
WFC_Laborde 4,4,3425699068
LibCDS_Feldman 4,4,2856873960
LibCDS_Feldman 8,4,2924723013
Xenium_Michael,4,2130964158
LibCDS_Michael 1,4,2178225659
LibCDS_SplitOrdered 1,4,2353424661
STD_Lock,8,19009376182
TBB,8,1170255480
WFC_Laborde 8,8,2407767520
LibCDS_Feldman 4,8,1577917791
LibCDS_Feldman 8,8,1571766183
Xenium_Michael,8,1244016837
LibCDS_Michael 1,8,1246359195
LibCDS_SplitOrdered 1,8,1506208552
STD_Lock,16,17938798116
TBB,16,619677254
LibCDS_Feldman 4,16,1088953562
LibCDS_Feldman 8,16,1168063739
Xenium_Michael,16,663743836
LibCDS_Michael 1,16,922369791
LibCDS_SplitOrdered 1,16,932531412
STD_Lock,32,19173282916
TBB,32,466372591
LibCDS_Feldman 4,32,865517248
LibCDS_Feldman 8,32,1329061710
Xenium_Michael,32,466262206
LibCDS_Michael 1,32,870580547
LibCDS_SplitOrdered 1,32,934766418
STD_Lock,1,3353022607
TBB,1,4014457630
WFC_Laborde 4,1,2490829332
WFC_Laborde 8,1,2328903655
LibCDS_Feldman 4,1,7449406977
LibCDS_Feldman 8,1,7584137936
Xenium_Michael,1,4256112880
LibCDS_Michael 1,1,4660629537
LibCDS_SplitOrdered 1,1,5056886733
STD_Lock,4,14994364166
TBB,4,2252015132
WFC_Laborde 4,4,3732915759
LibCDS_Feldman 4,4,2870576051
LibCDS_Feldman 8,4,2946802114
Xenium_Michael,4,2248204725
LibCDS_Michael 1,4,2316329145
LibCDS_SplitOrdered 1,4,2316566980
STD_Lock,8,18422824708
TBB,8,1084451879
LibCDS_Feldman 4,8,1696847846
