Structure,Threads,Elapsed Time
STD_Lock,1,6195732632
TBB,1,7318371561
WFC_Laborde 4,1,24539764982
WFC_Laborde 8,1,16932268360
LibCDS_Feldman 4,1,16164740618
LibCDS_Feldman 8,1,13383807908
LibCDS_Michael 1,1,13494451078
Xenium_Michael,1,15105211763
LibCDS_SplitOrdered 1,1,23445475835
STD_Lock,4,17244088340
TBB,4,2930602179
WFC_Laborde 4,4,9082666380
WFC_Laborde 8,4,6333645025
LibCDS_Feldman 4,4,4515930682
LibCDS_Feldman 8,4,3893719445
LibCDS_Michael 1,4,4077715588
Xenium_Michael,4,4168326009
LibCDS_SplitOrdered 1,4,6909454941
STD_Lock,8,19115125329
TBB,8,1654099974
WFC_Laborde 4,8,4553739920
WFC_Laborde 8,8,2960956119
LibCDS_Feldman 4,8,2205397239
LibCDS_Feldman 8,8,1953903511
LibCDS_Michael 1,8,1965786482
Xenium_Michael,8,2039754687
LibCDS_SplitOrdered 1,8,3423784193
STD_Lock,16,16927271827
TBB,16,841318627
WFC_Laborde 4,16,2571669778
WFC_Laborde 8,16,1995568495
LibCDS_Feldman 4,16,1162905670
LibCDS_Feldman 8,16,1182115555
LibCDS_Michael 1,16,961412741
Xenium_Michael,16,1175135385
LibCDS_SplitOrdered 1,16,1795499841
STD_Lock,32,17304222058
TBB,32,490838878
WFC_Laborde 4,32,1582373493
WFC_Laborde 8,32,1429977463
LibCDS_Feldman 4,32,717285895
LibCDS_Feldman 8,32,572995773
LibCDS_Michael 1,32,596598655
Xenium_Michael,32,623590311
LibCDS_SplitOrdered 1,32,979157295
STD_Lock,1,6744610591
TBB,1,7319356450
WFC_Laborde 4,1,24542045012
WFC_Laborde 8,1,16878103175
LibCDS_Feldman 4,1,16162854662
LibCDS_Feldman 8,1,13385851594
LibCDS_Michael 1,1,13480317912
Xenium_Michael,1,14894221072
LibCDS_SplitOrdered 1,1,23452235915
STD_Lock,4,17206696557
TBB,4,3052185305
WFC_Laborde 4,4,9050067967
WFC_Laborde 8,4,6324160859
LibCDS_Feldman 4,4,4446228000
LibCDS_Feldman 8,4,3913687514
LibCDS_Michael 1,4,4081262264
Xenium_Michael,4,4132572768
LibCDS_SplitOrdered 1,4,6846618752
STD_Lock,8,18816652449
TBB,8,1638337027
WFC_Laborde 4,8,4642538757
WFC_Laborde 8,8,3181693621
LibCDS_Feldman 4,8,2258629859
LibCDS_Feldman 8,8,2016504834
LibCDS_Michael 1,8,1973307817
Xenium_Michael,8,2061381794
LibCDS_SplitOrdered 1,8,3381126712
STD_Lock,16,17259269545
TBB,16,890937027
WFC_Laborde 4,16,2663330645
WFC_Laborde 8,16,2062790613
LibCDS_Feldman 4,16,1257827978
LibCDS_Feldman 8,16,983221283
LibCDS_Michael 1,16,997807897
Xenium_Michael,16,1187127788
LibCDS_SplitOrdered 1,16,1763763490
STD_Lock,32,17186366576
TBB,32,485118780
WFC_Laborde 4,32,1558554845
WFC_Laborde 8,32,1402878060
LibCDS_Feldman 4,32,716152405
LibCDS_Feldman 8,32,575260056
LibCDS_Michael 1,32,573278512
Xenium_Michael,32,627018810
LibCDS_SplitOrdered 1,32,940918704
STD_Lock,1,6144959770
TBB,1,7313707583
WFC_Laborde 4,1,24551285083
WFC_Laborde 8,1,16524068757
LibCDS_Feldman 4,1,16170678664
LibCDS_Feldman 8,1,13389568460
LibCDS_Michael 1,1,13479456734
Xenium_Michael,1,14893252232
LibCDS_SplitOrdered 1,1,23446371904
STD_Lock,4,16608669706
TBB,4,3022817981
WFC_Laborde 4,4,9046426196
WFC_Laborde 8,4,6363301147
LibCDS_Feldman 4,4,4520368868
LibCDS_Feldman 8,4,3884289932
LibCDS_Michael 1,4,4083046163
Xenium_Michael,4,4187350638
LibCDS_SplitOrdered 1,4,6844880379
STD_Lock,8,17617667150
TBB,8,1662426863
WFC_Laborde 4,8,4696427202
WFC_Laborde 8,8,3173433630
LibCDS_Feldman 4,8,2209411667
