Structure,Threads,Elapsed Time
STD_Lock,1,4615589158
TBB,1,5446498187
WFC_Laborde 4,1,12330073361
WFC_Laborde 8,1,8841063828
LibCDS_Feldman 4,1,12032561818
LibCDS_Feldman 8,1,10661564903
Xenium_Michael,1,13493893287
LibCDS_Michael 1,1,12178666590
LibCDS_SplitOrdered 1,1,20751274562
STD_Lock,4,16994990153
TBB,4,2909863788
WFC_Laborde 4,4,5938345458
WFC_Laborde 8,4,5036018126
LibCDS_Feldman 4,4,3507381268
LibCDS_Feldman 8,4,3187407632
Xenium_Michael,4,4036834731
LibCDS_Michael 1,4,3858725227
LibCDS_SplitOrdered 1,4,5781372659
STD_Lock,8,19881886277
TBB,8,1289420243
WFC_Laborde 4,8,3794684577
WFC_Laborde 8,8,2912580527
LibCDS_Feldman 4,8,1946921509
LibCDS_Feldman 8,8,1679084084
Xenium_Michael,8,2142654614
LibCDS_Michael 1,8,1969185432
LibCDS_SplitOrdered 1,8,3029845752
STD_Lock,16,19694903749
TBB,16,730631517
WFC_Laborde 4,16,2293445961
WFC_Laborde 8,16,2253611128
LibCDS_Feldman 4,16,1096078189
LibCDS_Feldman 8,16,1025643956
Xenium_Michael,16,1173571315
LibCDS_Michael 1,16,1217070111
LibCDS_SplitOrdered 1,16,1819985891
STD_Lock,32,19823701346
TBB,32,475782950
WFC_Laborde 4,32,1946259679
WFC_Laborde 8,32,2027710243
LibCDS_Feldman 4,32,700898699
LibCDS_Feldman 8,32,615449292
Xenium_Michael,32,726162492
LibCDS_Michael 1,32,784512952
LibCDS_SplitOrdered 1,32,1044742290
STD_Lock,1,4614483997
TBB,1,5445875073
WFC_Laborde 4,1,12330668409
WFC_Laborde 8,1,8843766627
LibCDS_Feldman 4,1,12030703774
LibCDS_Feldman 8,1,10661649398
Xenium_Michael,1,13492312704
LibCDS_Michael 1,1,12184755925
LibCDS_SplitOrdered 1,1,20759078319
STD_Lock,4,14941926655
TBB,4,2682214662
WFC_Laborde 4,4,7034333232
LibCDS_Feldman 4,4,3685934850
LibCDS_Feldman 8,4,3181198273
Xenium_Michael,4,4185300717
LibCDS_Michael 1,4,3863882784
LibCDS_SplitOrdered 1,4,6080662299
STD_Lock,8,19572462727
TBB,8,1382049885
WFC_Laborde 4,8,3863785356
WFC_Laborde 8,8,3072472564
LibCDS_Feldman 4,8,1779628112
LibCDS_Feldman 8,8,1747042865
Xenium_Michael,8,2154890653
LibCDS_Michael 1,8,1987191410
LibCDS_SplitOrdered 1,8,3194922832
STD_Lock,16,20059296450
TBB,16,687774786
WFC_Laborde 4,16,2458766892
LibCDS_Feldman 4,16,1086259262
LibCDS_Feldman 8,16,1024993220
Xenium_Michael,16,1276965827
LibCDS_Michael 1,16,1189532378
LibCDS_SplitOrdered 1,16,1826475765
STD_Lock,32,20260922718
TBB,32,448795867
WFC_Laborde 4,32,1903419427
WFC_Laborde 8,32,1956326998
LibCDS_Feldman 4,32,702543106
LibCDS_Feldman 8,32,592434107
Xenium_Michael,32,719465448
LibCDS_Michael 1,32,860801383
LibCDS_SplitOrdered 1,32,1061374768
STD_Lock,1,4619856488
TBB,1,5444594989
WFC_Laborde 4,1,12333726049
WFC_Laborde 8,1,8845906473
LibCDS_Feldman 4,1,12031405477
LibCDS_Feldman 8,1,10661456069
Xenium_Michael,1,13492749996
LibCDS_Michael 1,1,12177502265
LibCDS_SplitOrdered 1,1,20753674807
STD_Lock,4,16030577451
TBB,4,2801568751
WFC_Laborde 8,4,5217210440
LibCDS_Feldman 4,4,3454711713
LibCDS_Feldman 8,4,3384612765
Xenium_Michael,4,3987269037
LibCDS_Michael 1,4,3725690034
LibCDS_SplitOrdered 1,4,6047113421
STD_Lock,8,19916156358
TBB,8,1215467975
WFC_Laborde 4,8,3944471504
WFC_Laborde 8,8,2903167262
LibCDS_Feldman 4,8,1848045814
LibCDS_Feldman 8,8,1703062997
Xenium_Michael,8,2085329848
LibCDS_Michael 1,8,1917799298
LibCDS_SplitOrdered 1,8,3050086434
STD_Lock,16,19752720843
TBB,16,698446297
LibCDS_Feldman 4,16,1129846236
LibCDS_Feldman 8,16,1020014826
Xenium_Michael,16,1199878837
LibCDS_Michael 1,16,1196105588
LibCDS_SplitOrdered 1,16,1826479975
STD_Lock,32,19419108100
TBB,32,502466115
WFC_Laborde 4,32,1975939433
WFC_Laborde 8,32,2124477173
LibCDS_Feldman 4,32,688870252
LibCDS_Feldman 8,32,620837028
Xenium_Michael,32,742902134
LibCDS_Michael 1,32,828981542
LibCDS_SplitOrdered 1,32,1109465275
STD_Lock,1,4614089336
TBB,1,5447576725
WFC_Laborde 4,1,12329154773
WFC_Laborde 8,1,8842044306
LibCDS_Feldman 4,1,12040827965
LibCDS_Feldman 8,1,10662269955
Xenium_Michael,1,13506590834
LibCDS_Michael 1,1,12171429091
LibCDS_SplitOrdered 1,1,20810944521
STD_Lock,4,15913229786
TBB,4,2961266949
WFC_Laborde 4,4,6889965914
WFC_Laborde 8,4,5122712086
LibCDS_Feldman 4,4,3466694706
LibCDS_Feldman 8,4,3226311906
Xenium_Michael,4,4130558796
LibCDS_Michael 1,4,3912656091
LibCDS_SplitOrdered 1,4,6042980093
STD_Lock,8,19870220674
TBB,8,1248813613
WFC_Laborde 4,8,3980020083
WFC_Laborde 8,8,2983369458
LibCDS_Feldman 4,8,1851337992
LibCDS_Feldman 8,8,1702992702
Xenium_Michael,8,2032163540
LibCDS_Michael 1,8,2099449483
LibCDS_SplitOrdered 1,8,3008975655
STD_Lock,16,19641101231
TBB,16,679581345
WFC_Laborde 8,16,2126527342
LibCDS_Feldman 4,16,1139221691
LibCDS_Feldman 8,16,1028719098
Xenium_Michael,16,1219680436
LibCDS_Michael 1,16,1202212238
LibCDS_SplitOrdered 1,16,1792621070
STD_Lock,32,20104870854
TBB,32,448255713
WFC_Laborde 8,32,2101650923
LibCDS_Feldman 4,32,781919382
LibCDS_Feldman 8,32,620974027
Xenium_Michael,32,768890195
LibCDS_Michael 1,32,817440879
LibCDS_SplitOrdered 1,32,1053018940
STD_Lock,1,4613878524
TBB,1,5447523248
WFC_Laborde 4,1,12331871602
WFC_Laborde 8,1,8840678018
LibCDS_Feldman 4,1,12032918692
LibCDS_Feldman 8,1,10662961178
Xenium_Michael,1,13514593967
LibCDS_Michael 1,1,12174860415
LibCDS_SplitOrdered 1,1,20751002560
STD_Lock,4,16349469781
TBB,4,2706830638
WFC_Laborde 4,4,6975515611
WFC_Laborde 8,4,4570625241
LibCDS_Feldman 4,4,3465446425
LibCDS_Feldman 8,4,3118262101
Xenium_Michael,4,4127642688
LibCDS_Michael 1,4,3949051293
LibCDS_SplitOrdered 1,4,5785786634
STD_Lock,8,19485654405
TBB,8,1270295618
WFC_Laborde 4,8,3844701982
WFC_Laborde 8,8,2860885897
LibCDS_Feldman 4,8,1806259061
LibCDS_Feldman 8,8,1694882537
Xenium_Michael,8,2096347048
LibCDS_Michael 1,8,2031073404
LibCDS_SplitOrdered 1,8,3022516917
STD_Lock,16,19844786328
TBB,16,696362699
WFC_Laborde 4,16,2554942703
LibCDS_Feldman 4,16,1134308352
LibCDS_Feldman 8,16,1023242781
Xenium_Michael,16,1264515166
LibCDS_Michael 1,16,1226937056
LibCDS_SplitOrdered 1,16,1790229533
STD_Lock,32,19931388672
TBB,32,509550080
WFC_Laborde 8,32,1945365352
LibCDS_Feldman 4,32,723868601
LibCDS_Feldman 8,32,603703939
Xenium_Michael,32,721794953
LibCDS_Michael 1,32,786280816
LibCDS_SplitOrdered 1,32,1149642714
STD_Lock,1,4620080934
TBB,1,5446027139
WFC_Laborde 4,1,12323269669
WFC_Laborde 8,1,8862036260
LibCDS_Feldman 4,1,12035217611
LibCDS_Feldman 8,1,10660186449
Xenium_Michael,1,13492084857
LibCDS_Michael 1,1,12175361619
LibCDS_SplitOrdered 1,1,20745928115
STD_Lock,4,15342605077
TBB,4,2703930281
WFC_Laborde 4,4,7046482227
WFC_Laborde 8,4,5119785863
LibCDS_Feldman 4,4,3468389768
LibCDS_Feldman 8,4,3348023634
Xenium_Michael,4,4140288881
LibCDS_Michael 1,4,3918223598
LibCDS_SplitOrdered 1,4,5983595405
STD_Lock,8,18540202023
TBB,8,1374077448
WFC_Laborde 4,8,3870048638
WFC_Laborde 8,8,2929578222
LibCDS_Feldman 4,8,1896295462
LibCDS_Feldman 8,8,1750823187
Xenium_Michael,8,2036873902
LibCDS_Michael 1,8,1909522501
LibCDS_SplitOrdered 1,8,3132545226
STD_Lock,16,19787383811
TBB,16,661535440
LibCDS_Feldman 4,16,1128918091
LibCDS_Feldman 8,16,1026651804
Xenium_Michael,16,1197330251
LibCDS_Michael 1,16,1234978516
LibCDS_SplitOrdered 1,16,1750013280
STD_Lock,32,19686761504
TBB,32,455236172
LibCDS_Feldman 4,32,644491665
LibCDS_Feldman 8,32,590761176
Xenium_Michael,32,726332003
LibCDS_Michael 1,32,819805486
LibCDS_SplitOrdered 1,32,1153489852
STD_Lock,1,4617166856
TBB,1,5444681941
WFC_Laborde 4,1,12331349357
WFC_Laborde 8,1,8842115583
LibCDS_Feldman 4,1,12035397511
LibCDS_Feldman 8,1,10662464154
Xenium_Michael,1,13493103880
LibCDS_Michael 1,1,12172437881
LibCDS_SplitOrdered 1,1,20754955640
STD_Lock,4,15610377455
TBB,4,2704161676
WFC_Laborde 4,4,6988961619
WFC_Laborde 8,4,4532840572
LibCDS_Feldman 4,4,3578278927
LibCDS_Feldman 8,4,3291198989
Xenium_Michael,4,4243817680
LibCDS_Michael 1,4,3746244178
LibCDS_SplitOrdered 1,4,6044566930
STD_Lock,8,19063140892
TBB,8,1274984955
LibCDS_Feldman 4,8,1787383465
LibCDS_Feldman 8,8,1717761024
Xenium_Michael,8,2131885289
LibCDS_Michael 1,8,2077333224
LibCDS_SplitOrdered 1,8,3136707280
STD_Lock,16,19378576669
TBB,16,718466318
LibCDS_Feldman 4,16,1155749574
LibCDS_Feldman 8,16,1042726245
Xenium_Michael,16,1239747789
LibCDS_Michael 1,16,1209868724
LibCDS_SplitOrdered 1,16,1808792661
STD_Lock,32,19792292266
TBB,32,485640792
LibCDS_Feldman 4,32,717024688
LibCDS_Feldman 8,32,716955628
Xenium_Michael,32,715852061
LibCDS_Michael 1,32,836259084
LibCDS_SplitOrdered 1,32,1085326902
STD_Lock,1,4616919932
TBB,1,5447713959
WFC_Laborde 4,1,12327148927
WFC_Laborde 8,1,8845429060
LibCDS_Feldman 4,1,12033536332
LibCDS_Feldman 8,1,10663098462
Xenium_Michael,1,13494735086
LibCDS_Michael 1,1,12174676132
LibCDS_SplitOrdered 1,1,20753309182
STD_Lock,4,15806454388
TBB,4,2870429736
WFC_Laborde 4,4,6983224143
WFC_Laborde 8,4,4961159366
LibCDS_Feldman 4,4,3569092094
LibCDS_Feldman 8,4,3083083125
Xenium_Michael,4,4121487609
LibCDS_Michael 1,4,3860360162
LibCDS_SplitOrdered 1,4,6033712451
STD_Lock,8,20276632741
TBB,8,1243907959
WFC_Laborde 4,8,3858926724
WFC_Laborde 8,8,2958090298
LibCDS_Feldman 4,8,1777848802
LibCDS_Feldman 8,8,1715478365
Xenium_Michael,8,2073547952
LibCDS_Michael 1,8,1930913345
LibCDS_SplitOrdered 1,8,3118695798
STD_Lock,16,19744687988
TBB,16,676521707
WFC_Laborde 4,16,2582865044
LibCDS_Feldman 4,16,1138769868
LibCDS_Feldman 8,16,1015140531
Xenium_Michael,16,1239775051
LibCDS_Michael 1,16,1202611535
LibCDS_SplitOrdered 1,16,1832681165
STD_Lock,32,19649825509
TBB,32,453210978
WFC_Laborde 4,32,1786459745
LibCDS_Feldman 4,32,680487351
LibCDS_Feldman 8,32,564124609
Xenium_Michael,32,713706530
LibCDS_Michael 1,32,743313118
