Structure,Threads,Elapsed Time
STD_Lock,1,4377910859
TBB,1,4127446454
WFC_Laborde 4,1,10047695086
WFC_Laborde 8,1,8210636215
LibCDS_Feldman 4,1,4139829437
LibCDS_Feldman 8,1,4056317482
LibCDS_Michael 1,1,3198660468
Xenium_Michael,1,9883015214
LibCDS_SplitOrdered 1,1,5124529515
STD_Lock,4,8886372475
TBB,4,1334453941
WFC_Laborde 4,4,3761300655
WFC_Laborde 8,4,3460347283
LibCDS_Feldman 4,4,873673949
LibCDS_Feldman 8,4,718108493
LibCDS_Michael 1,4,699768915
Xenium_Michael,4,5597983418
LibCDS_SplitOrdered 1,4,1615904302
STD_Lock,8,8902856018
TBB,8,395389907
WFC_Laborde 4,8,1949562675
WFC_Laborde 8,8,1818089420
LibCDS_Feldman 4,8,291616615
LibCDS_Feldman 8,8,250519309
LibCDS_Michael 1,8,226385611
Xenium_Michael,8,2584319231
LibCDS_SplitOrdered 1,8,385116238
STD_Lock,16,8404061828
TBB,16,267859260
WFC_Laborde 4,16,1079545252
WFC_Laborde 8,16,731722084
LibCDS_Feldman 4,16,233397932
LibCDS_Feldman 8,16,155007021
LibCDS_Michael 1,16,171791164
Xenium_Michael,16,2353141868
LibCDS_SplitOrdered 1,16,263288560
STD_Lock,32,6802583681
TBB,32,179910115
WFC_Laborde 4,32,957880313
WFC_Laborde 8,32,751167559
LibCDS_Feldman 4,32,112405622
LibCDS_Feldman 8,32,120327496
LibCDS_Michael 1,32,107519305
Xenium_Michael,32,1507324307
LibCDS_SplitOrdered 1,32,261526093
STD_Lock,1,4138691482
TBB,1,4945422574
WFC_Laborde 4,1,9912444193
WFC_Laborde 8,1,9411892390
LibCDS_Feldman 4,1,4309887093
LibCDS_Feldman 8,1,4857015832
LibCDS_Michael 1,1,3506178656
Xenium_Michael,1,9414568267
LibCDS_SplitOrdered 1,1,5132111457
STD_Lock,4,8688290619
TBB,4,1609145042
WFC_Laborde 4,4,3605706499
WFC_Laborde 8,4,3521027259
LibCDS_Feldman 4,4,840554209
LibCDS_Feldman 8,4,780956356
LibCDS_Michael 1,4,748624129
Xenium_Michael,4,5533735324
LibCDS_SplitOrdered 1,4,1276604694
STD_Lock,8,9870557024
TBB,8,575541114
WFC_Laborde 4,8,1716408292
WFC_Laborde 8,8,1578986837
LibCDS_Feldman 4,8,284744416
LibCDS_Feldman 8,8,262465021
LibCDS_Michael 1,8,220402884
Xenium_Michael,8,2688528593
LibCDS_SplitOrdered 1,8,426732830
STD_Lock,16,6252935716
TBB,16,271613104
WFC_Laborde 4,16,1237071026
WFC_Laborde 8,16,530825106
LibCDS_Feldman 4,16,184772515
